,Unnamed: 0,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
310,310,0,0.7969798657718121,0.6976744186046512,0.9437229437229437,0.7857142857142857,0,8.29671,-26.08547
275,275,0,0.7550335570469798,0.7162790697674418,0.9523809523809523,0.8015873015873016,0,8.63488,-26.75621
47,47,1,0.6291946308724832,0.8790697674418604,0.7748917748917749,0.4722222222222222,0,0.0,0.0
200,200,1,0.8640939597315437,0.8697674418604651,0.8095238095238095,0.5158730158730159,0,9.6895,-24.43062
59,59,0,0.6308724832214765,0.8883720930232558,0.8398268398268398,0.5952380952380952,0,9.108,-25.89677
256,256,0,0.714765100671141,0.6372093023255814,0.922077922077922,0.7857142857142857,0,7.96935,-26.70968
106,106,0,0.6476510067114094,0.7999999999999999,0.8614718614718615,0.5952380952380952,0,8.77322,-26.48973
175,175,1,0.8489932885906041,0.9023255813953488,0.8354978354978355,0.6031746031746031,0,9.28153,-24.97134
260,260,0,0.7164429530201343,0.6372093023255814,0.9004329004329005,0.626984126984127,0,8.14567,-26.59467
328,328,0,0.7265100671140939,0.6511627906976745,0.9004329004329005,0.7261904761904762,0,8.4207,-26.38092
86,86,1,0.6090604026845637,0.9069767441860465,0.8225108225108225,0.6031746031746031,0,8.57087,-26.22227
29,29,0,0.6795302013422819,0.8790697674418604,0.7792207792207793,0.626984126984127,0,8.90027,-25.11609
152,152,1,0.7802013422818792,0.8325581395348837,0.8311688311688312,0.5555555555555556,0,9.03935,-24.30229
335,335,0,0.9244966442953021,0.7441860465116279,0.9956709956709957,0.9285714285714286,0,8.08354,-26.18161
46,46,1,0.6895973154362416,0.8837209302325582,0.7878787878787878,0.5436507936507936,0,0.0,0.0
194,194,1,0.8540268456375839,0.8883720930232558,0.8484848484848485,0.5634920634920635,0,10.02372,-24.86594
185,185,1,0.8557046979865772,0.8744186046511628,0.8787878787878788,0.6507936507936508,0,9.23196,-24.17282
69,69,2,0.7013422818791946,0.9023255813953488,0.8571428571428571,0.7063492063492064,0,8.86853,-26.06209
112,112,0,0.6661073825503356,0.8232558139534883,0.8354978354978355,0.5079365079365079,0,9.02657,-26.06203
85,85,1,0.6929530201342281,0.944186046511628,0.8398268398268398,0.5634920634920635,0,9.14863,-26.09635
16,16,2,0.6493288590604027,0.8837209302325582,0.8441558441558441,0.5476190476190477,0,9.18528,-25.06691
54,54,0,0.5788590604026845,0.8418604651162791,0.8095238095238095,0.4603174603174603,0,8.41837,-26.54718
14,14,2,0.5805369127516778,0.9813953488372094,0.8571428571428571,0.6984126984126984,0,8.55583,-25.22588
276,276,0,0.7348993288590604,0.6465116279069768,0.9004329004329005,0.6825396825396826,0,8.58319,-26.84415
92,92,1,0.5704697986577181,0.7953488372093024,0.8008658008658008,0.5396825396825397,0,8.01485,-26.69543
290,290,0,0.8003355704697988,0.6976744186046512,0.935064935064935,0.753968253968254,0,8.53018,-26.72751
42,42,1,0.6040268456375839,0.8604651162790697,0.8051948051948052,0.49206349206349204,0,9.50772,-25.03492
191,191,1,0.8976510067114094,0.9255813953488371,0.8874458874458875,0.7142857142857143,0,10.02544,-24.90816
17,17,2,0.7130872483221476,0.9627906976744186,0.8528138528138528,0.7142857142857143,0,8.67538,-25.13993
56,56,0,0.6543624161073825,0.813953488372093,0.8051948051948052,0.5634920634920635,0,8.57199,-26.07188
142,142,1,0.5385906040268457,0.7209302325581395,0.8138528138528138,0.48412698412698413,0,8.79787,-26.61075
140,140,1,0.6744966442953021,0.7953488372093024,0.8354978354978355,0.5396825396825397,0,9.2881,-25.54976
255,255,0,0.8120805369127516,0.758139534883721,0.9523809523809523,0.8571428571428571,0,8.03659,-26.86127
307,307,0,0.860738255033557,0.6604651162790697,0.9437229437229437,0.8412698412698413,0,8.15426,-26.3433
44,44,1,0.6208053691275168,0.786046511627907,0.8008658008658008,0.47619047619047616,0,9.36392,-25.01745
246,246,0,0.7466442953020134,0.6651162790697674,0.935064935064935,0.6507936507936508,0,7.96621,-25.69327
190,190,1,0.7869127516778524,0.772093023255814,0.8311688311688312,0.42857142857142855,0,9.80589,-24.73735
329,329,0,0.8070469798657718,0.7023255813953488,0.9047619047619048,0.873015873015873,0,8.45738,-26.22664
197,197,1,0.8523489932885906,0.8604651162790697,0.8701298701298701,0.7063492063492064,0,9.45827,-24.35575
325,325,0,0.785234899328859,0.7488372093023257,0.9307359307359307,0.873015873015873,0,8.32359,-26.05756
0,0,2,0.6560402684563759,0.8697674418604651,0.7835497835497836,0.5952380952380952,0,0.0,0.0
258,258,0,0.738255033557047,0.6325581395348837,0.9004329004329005,0.6904761904761905,0,8.01979,-26.68311
308,308,0,0.7969798657718121,0.6511627906976745,0.9177489177489178,0.7738095238095238,0,8.12691,-26.23613
50,50,0,0.6644295302013423,0.8232558139534883,0.8051948051948052,0.5555555555555556,0,8.46616,-26.12989
35,35,1,0.6577181208053692,0.9813953488372094,0.8484848484848485,0.6587301587301587,0,9.15308,-25.03469
303,303,0,0.8389261744966443,0.7395348837209302,0.9696969696969697,0.8492063492063492,0,8.20042,-26.39677
187,187,1,0.7969798657718121,0.7813953488372093,0.8614718614718615,0.6190476190476191,0,9.07825,-25.1455
5,5,2,0.6593959731543624,0.958139534883721,0.8225108225108225,0.5793650793650794,0,8.66496,-25.29805
33,33,1,0.686241610738255,0.8790697674418604,0.7965367965367965,0.6190476190476191,0,8.79665,-25.14591
259,259,0,0.8171140939597316,0.7302325581395348,0.9004329004329005,0.8492063492063492,0,8.14776,-26.84506
125,125,2,0.6812080536912752,0.8837209302325582,0.8614718614718615,0.6349206349206349,0,9.22537,-25.60826
177,177,1,0.87248322147651,0.8837209302325582,0.8528138528138528,0.6587301587301587,0,9.36799,-24.47142
204,204,1,0.7667785234899329,0.8046511627906977,0.8354978354978355,0.5714285714285714,0,9.415,-24.805
41,41,1,0.6845637583892616,0.855813953488372,0.8441558441558441,0.6190476190476191,0,0.0,0.0
111,111,0,0.7651006711409396,0.944186046511628,0.8268398268398268,0.7301587301587301,0,8.65466,-26.32909
70,70,2,0.5620805369127517,0.8837209302325582,0.8225108225108225,0.5714285714285714,0,7.88863,-26.63085
284,284,0,0.7684563758389261,0.6604651162790697,0.948051948051948,0.746031746031746,0,8.60447,-26.61601
113,113,0,0.7080536912751678,0.9069767441860465,0.8528138528138528,0.6785714285714286,0,8.80186,-26.41218
